Plate,Well,Row,Column,Drug,Conc,Junk,siRNA
1,C10,C,10,,si5,si5,si5
1,C11,C,11,si6,,si6,si6
1,C12,C,12,,si6,si6,si6
1,C13,C,13,si7,,si7,si7
1,C14,C,14,,si7,si7,si7
1,C15,C,15,si8,,si8,si8
1,C16,C,16,,si8,si8,si8
1,C17,C,17,si9,,si9,si9
1,C18,C,18,,si9,si9,si9
1,C19,C,19,si10,,si10,si10
1,C20,C,20,,si10,si10,si10
1,C21,C,21,si11,,si11,si11
1,C22,C,22,,si11,si11,si11
1,C23,C,23,si12,,si12,si12
1,C24,C,24,,si12,si12,si12
1,D01,D,01,si1,,si1,si1
1,D02,D,02,,si1,si1,si1
1,D03,D,03,si2,,si2,si2
1,D04,D,04,,si2,si2,si2
1,D05,D,05,si3,,si3,si3
1,D06,D,06,,si3,si3,si3
1,D07,D,07,si4,,si4,si4
1,D08,D,08,,si4,si4,si4
1,D09,D,09,si5,,si5,si5
1,D10,D,10,,si5,si5,si5
1,D11,D,11,si6,,si6,si6
1,D12,D,12,,si6,si6,si6
1,D13,D,13,si7,,si7,si7
1,D14,D,14,,si7,si7,si7
1,D15,D,15,si8,,si8,si8
1,D16,D,16,,si8,si8,si8
1,D17,D,17,si9,,si9,si9
1,D18,D,18,,si9,si9,si9
1,D19,D,19,si10,,si10,si10
1,D20,D,20,,si10,si10,si10
1,D21,D,21,si11,,si11,si11
1,D22,D,22,,si11,si11,si11
1,D23,D,23,si12,,si12,si12
1,D24,D,24,,si12,si12,si12
1,E01,E,01,si1,,si1,si1
1,E02,E,02,,si1,si1,si1
1,E03,E,03,si2,,si2,si2
1,E04,E,04,,si2,si2,si2
1,E05,E,05,si3,,si3,si3
1,E06,E,06,,si3,si3,si3
1,E07,E,07,si4,,si4,si4
1,E08,E,08,,si4,si4,si4
1,E09,E,09,si5,,si5,si5
1,E10,E,10,,si5,si5,si5
1,E11,E,11,si6,,si6,si6
1,E12,E,12,,si6,si6,si6
1,E13,E,13,si7,,si7,si7
1,E14,E,14,,si7,si7,si7
1,E15,E,15,si8,,si8,si8
1,E16,E,16,,si8,si8,si8
1,E17,E,17,si9,,si9,si9
1,E18,E,18,,si9,si9,si9
1,E19,E,19,si10,,si10,si10
1,E20,E,20,,si10,si10,si10
1,E21,E,21,si11,,si11,si11
1,E22,E,22,,si11,si11,si11
1,E23,E,23,si12,,si12,si12
1,E24,E,24,,si12,si12,si12
1,F01,F,01,si1,,si1,si1
1,F02,F,02,,si1,si1,si1
1,F03,F,03,si2,,si2,si2
1,F04,F,04,,si2,si2,si2
1,F05,F,05,si3,,si3,si3
1,F06,F,06,,si3,si3,si3
1,F07,F,07,si4,,si4,si4
1,F08,F,08,,si4,si4,si4
1,F09,F,09,si5,,si5,si5
1,F10,F,10,,si5,si5,si5
1,F11,F,11,si6,,si6,si6
1,F12,F,12,,si6,si6,si6
1,F13,F,13,si7,,si7,si7
1,F14,F,14,,si7,si7,si7
1,F15,F,15,si8,,si8,si8
1,F16,F,16,,si8,si8,si8
1,F17,F,17,si9,,si9,si9
1,F18,F,18,,si9,si9,si9
1,F19,F,19,si10,,si10,si10
1,F20,F,20,,si10,si10,si10
1,F21,F,21,si11,,si11,si11
1,F22,F,22,,si11,si11,si11
1,F23,F,23,si12,,si12,si12
1,F24,F,24,,si12,si12,si12
1,G01,G,01,si1,,si1,si1
1,G02,G,02,,si1,si1,si1
1,G03,G,03,si2,,si2,si2
1,G04,G,04,,si2,si2,si2
1,G05,G,05,si3,,si3,si3
1,G06,G,06,,si3,si3,si3
1,G07,G,07,si4,,si4,si4
1,G08,G,08,,si4,si4,si4
1,G09,G,09,si5,,si5,si5
1,G10,G,10,,si5,si5,si5
1,G11,G,11,si6,,si6,si6
1,G12,G,12,,si6,si6,si6
1,G13,G,13,si7,,si7,si7
1,G14,G,14,,si7,si7,si7
1,G15,G,15,si8,,si8,si8
1,G16,G,16,,si8,si8,si8
1,G17,G,17,si9,,si9,si9
1,G18,G,18,,si9,si9,si9
1,G19,G,19,si10,,si10,si10
1,G20,G,20,,si10,si10,si10
1,G21,G,21,si11,,si11,si11
1,G22,G,22,,si11,si11,si11
1,G23,G,23,si12,,si12,si12
1,G24,G,24,,si12,si12,si12
1,H01,H,01,si1,,si1,si1
1,H02,H,02,,si1,si1,si1
1,H03,H,03,si2,,si2,si2
1,H04,H,04,,si2,si2,si2
1,H05,H,05,si3,,si3,si3
1,H06,H,06,,si3,si3,si3
1,H07,H,07,si4,,si4,si4
1,H08,H,08,,si4,si4,si4
1,H09,H,09,si5,,si5,si5
1,H10,H,10,,si5,si5,si5
1,H11,H,11,si6,,si6,si6
1,H12,H,12,,si6,si6,si6
1,H13,H,13,si7,,si7,si7
1,H14,H,14,,si7,si7,si7
1,H15,H,15,si8,,si8,si8
1,H16,H,16,,si8,si8,si8
1,H17,H,17,si9,,si9,si9
1,H18,H,18,,si9,si9,si9
1,H19,H,19,si10,,si10,si10
1,H20,H,20,,si10,si10,si10
1,H21,H,21,si11,,si11,si11
1,H22,H,22,,si11,si11,si11
1,H23,H,23,si12,,si12,si12
1,H24,H,24,,si12,si12,si12
1,I01,I,01,si1,,si1,si1
1,I02,I,02,,si1,si1,si1
1,I03,I,03,si2,,si2,si2
1,I04,I,04,,si2,si2,si2
1,I05,I,05,si3,,si3,si3
1,I06,I,06,,si3,si3,si3
1,I07,I,07,si4,,si4,si4
1,I08,I,08,,si4,si4,si4
1,I09,I,09,si5,,si5,si5
1,I10,I,10,,si5,si5,si5
1,I11,I,11,si6,,si6,si6
1,I12,I,12,,si6,si6,si6
1,I13,I,13,si7,,si7,si7
1,I14,I,14,,si7,si7,si7
1,I15,I,15,si8,,si8,si8
1,I16,I,16,,si8,si8,si8
1,I17,I,17,si9,,si9,si9
1,I18,I,18,,si9,si9,si9
1,I19,I,19,si10,,si10,si10
1,I20,I,20,,si10,si10,si10
1,I21,I,21,si11,,si11,si11
1,I22,I,22,,si11,si11,si11
1,I23,I,23,si12,,si12,si12
1,I24,I,24,,si12,si12,si12
1,J01,J,01,si1,,si1,si1
1,J02,J,02,,si1,si1,si1
1,J03,J,03,si2,,si2,si2
1,J04,J,04,,si2,si2,si2
1,J05,J,05,si3,,si3,si3
1,J06,J,06,,si3,si3,si3
1,J07,J,07,si4,,si4,si4
1,J08,J,08,,si4,si4,si4
1,J09,J,09,si5,,si5,si5
1,J10,J,10,,si5,si5,si5
1,J11,J,11,si6,,si6,si6
1,J12,J,12,,si6,si6,si6
1,J13,J,13,si7,,si7,si7
1,J14,J,14,,si7,si7,si7
1,J15,J,15,si8,,si8,si8
1,J16,J,16,,si8,si8,si8
1,J17,J,17,si9,,si9,si9
1,J18,J,18,,si9,si9,si9
1,J19,J,19,si10,,si10,si10
1,J20,J,20,,si10,si10,si10
1,J21,J,21,si11,,si11,si11
1,J22,J,22,,si11,si11,si11
1,J23,J,23,si12,,si12,si12
1,J24,J,24,,si12,si12,si12
1,K01,K,01,si1,,si1,si1
1,K02,K,02,,si1,si1,si1
1,K03,K,03,si2,,si2,si2
1,K04,K,04,,si2,si2,si2
1,K05,K,05,si3,,si3,si3
1,K06,K,06,,si3,si3,si3
1,K07,K,07,si4,,si4,si4
1,K08,K,08,,si4,si4,si4
1,K09,K,09,si5,,si5,si5
1,K10,K,10,,si5,si5,si5
1,K11,K,11,si6,,si6,si6
1,K12,K,12,,si6,si6,si6
1,K13,K,13,si7,,si7,si7
1,K14,K,14,,si7,si7,si7
1,K15,K,15,si8,,si8,si8
1,K16,K,16,,si8,si8,si8
1,K17,K,17,si9,,si9,si9
1,K18,K,18,,si9,si9,si9
1,K19,K,19,si10,,si10,si10
1,K20,K,20,,si10,si10,si10
1,K21,K,21,si11,,si11,si11
1,K22,K,22,,si11,si11,si11
1,K23,K,23,si12,,si12,si12
1,K24,K,24,,si12,si12,si12
1,L01,L,01,si1,,si1,si1
1,L02,L,02,,si1,si1,si1
1,L03,L,03,si2,,si2,si2
1,L04,L,04,,si2,si2,si2
1,L05,L,05,si3,,si3,si3
1,L06,L,06,,si3,si3,si3
1,L07,L,07,si4,,si4,si4
1,L08,L,08,,si4,si4,si4
1,L09,L,09,si5,,si5,si5
1,L10,L,10,,si5,si5,si5
1,L11,L,11,si6,,si6,si6
1,L12,L,12,,si6,si6,si6
1,L13,L,13,si7,,si7,si7
1,L14,L,14,,si7,si7,si7
1,L15,L,15,si8,,si8,si8
1,L16,L,16,,si8,si8,si8
1,L17,L,17,si9,,si9,si9
1,L18,L,18,,si9,si9,si9
1,L19,L,19,si10,,si10,si10
1,L20,L,20,,si10,si10,si10
1,L21,L,21,si11,,si11,si11
1,L22,L,22,,si11,si11,si11
1,L23,L,23,si12,,si12,si12
1,L24,L,24,,si12,si12,si12
1,M01,M,01,si1,,si1,si1
1,M02,M,02,,si1,si1,si1
1,M03,M,03,si2,,si2,si2
1,M04,M,04,,si2,si2,si2
1,M05,M,05,si3,,si3,si3
1,M06,M,06,,si3,si3,si3
1,M07,M,07,si4,,si4,si4
1,M08,M,08,,si4,si4,si4
1,M09,M,09,si5,,si5,si5
1,M10,M,10,,si5,si5,si5
1,M11,M,11,si6,,si6,si6
1,M12,M,12,,si6,si6,si6
1,M13,M,13,si7,,si7,si7
1,M14,M,14,,si7,si7,si7
1,M15,M,15,si8,,si8,si8
1,M16,M,16,,si8,si8,si8
1,M17,M,17,si9,,si9,si9
1,M18,M,18,,si9,si9,si9
1,M19,M,19,si10,,si10,si10
1,M20,M,20,,si10,si10,si10
1,M21,M,21,si11,,si11,si11
1,M22,M,22,,si11,si11,si11
1,M23,M,23,si12,,si12,si12
1,M24,M,24,,si12,si12,si12
1,N01,N,01,si1,,si1,si1
1,N02,N,02,,si1,si1,si1
1,N03,N,03,si2,,si2,si2
1,N04,N,04,,si2,si2,si2
1,N05,N,05,si3,,si3,si3
1,N06,N,06,,si3,si3,si3
1,N07,N,07,si4,,si4,si4
1,N08,N,08,,si4,si4,si4
1,N09,N,09,si5,,si5,si5
1,N10,N,10,,si5,si5,si5
1,N11,N,11,si6,,si6,si6
1,N12,N,12,,si6,si6,si6
1,N13,N,13,si7,,si7,si7
1,N14,N,14,,si7,si7,si7
1,N15,N,15,si8,,si8,si8
1,N16,N,16,,si8,si8,si8
1,N17,N,17,si9,,si9,si9
1,N18,N,18,,si9,si9,si9
1,N19,N,19,si10,,si10,si10
1,N20,N,20,,si10,si10,si10
1,N21,N,21,si11,,si11,si11
1,N22,N,22,,si11,si11,si11
1,N23,N,23,si12,,si12,si12
1,N24,N,24,,si12,si12,si12
1,O01,O,01,si1,,si1,si1
1,O02,O,02,,si1,si1,si1
1,O03,O,03,si2,,si2,si2
1,O04,O,04,,si2,si2,si2
1,O05,O,05,si3,,si3,si3
1,O06,O,06,,si3,si3,si3
1,O07,O,07,si4,,si4,si4
1,O08,O,08,,si4,si4,si4
1,O09,O,09,si5,,si5,si5
1,O10,O,10,,si5,si5,si5
1,O11,O,11,si6,,si6,si6
1,O12,O,12,,si6,si6,si6
1,O13,O,13,si7,,si7,si7
1,O14,O,14,,si7,si7,si7
1,O15,O,15,si8,,si8,si8
1,O16,O,16,,si8,si8,si8
1,O17,O,17,si9,,si9,si9
1,O18,O,18,,si9,si9,si9
1,O19,O,19,si10,,si10,si10
1,O20,O,20,,si10,si10,si10
1,O21,O,21,si11,,si11,si11
1,O22,O,22,,si11,si11,si11
1,O23,O,23,si12,,si12,si12
1,O24,O,24,,si12,si12,si12
1,P01,P,01,si1,,si1,si1
1,P02,P,02,,si1,si1,si1
1,P03,P,03,si2,,si2,si2
1,P04,P,04,,si2,si2,si2
1,P05,P,05,si3,,si3,si3
1,P06,P,06,,si3,si3,si3
1,P07,P,07,si4,,si4,si4
1,P08,P,08,,si4,si4,si4
1,P09,P,09,si5,,si5,si5
1,P10,P,10,,si5,si5,si5
1,P11,P,11,si6,,si6,si6
1,P12,P,12,,si6,si6,si6
1,P13,P,13,si7,,si7,si7
1,P14,P,14,,si7,si7,si7
1,P15,P,15,si8,,si8,si8
1,P16,P,16,,si8,si8,si8
1,P17,P,17,si9,,si9,si9
1,P18,P,18,,si9,si9,si9
1,P19,P,19,si10,,si10,si10
1,P20,P,20,,si10,si10,si10
1,P21,P,21,si11,,si11,si11
1,P22,P,22,,si11,si11,si11
1,P23,P,23,si12,,si12,si12
1,P24,P,24,,si12,si12,si12
